"search_term_used","study_id","title","description","organism","relevance_score","url"
"cardiovascular","GSE43805","TMEM88 knockdown during human embryonic stem cell cardiac differentiation","TMEM88 is indispensable for heart development and acts in the pre-cardiac mesoderm to specify lineage commitment of the cardiovascular progenitor cell through inhibition of Wnt signaling.","Homo sapiens","49","https://osdr.nasa.gov/bio/repo/data/studies/GSE43805"
"cardiac","PXD001888","Mouse heart toxicity","Background Sunitinib is a small molecule tyrosine kinase inhibitor approved for the treatment of diverse cancers. Despite widespread clinical approval the associated cardiovascular toxicity sequelae are of concern; high grade toxicities may lead to dose reduction, interruption or discontinuation. Thus, an effective strategy for the early detection of cardiac damage in the context of sunitinib treatment is warranted. Although yet to be fully elucidated, molecular pathways and kinases implicate in...","Mus musculus (Mouse)","49","https://osdr.nasa.gov/bio/repo/data/studies/PXD001888"
"blood pressure","GSE86882","Cardioprotection and lifespan extension by the natural polyamine spermidine","Aging is associated with an increased risk of cardiovascular disease and death. Here we show that oral supplementation of the natural polyamine spermidine extends lifespan, while it exerts cardioprotective effects through reduction of cardiac hypertrophy and preservation of diastolic function in old mice. Spermidine feeding enhanced cardiac autophagy, mitophagy, mitochondrial respiration and mechano-elastical properties of cardiomyocytes in vivo, coinciding with increased titin phosphorylation a...","Mus musculus","47","https://osdr.nasa.gov/bio/repo/data/studies/GSE86882"
"human spaceflight","OSD-599","Transcriptomic Effects on the Mouse Heart Following 30 Days on the International Space Station.","Efforts to understand the impact of spaceflight on the human body stem from growing interest in long-term space travel. Multiple organ systems are affected by microgravity and radiation, including the cardiovascular system. Previous transcriptomic studies have sought to reveal the changes in gene expression after spaceflight. However, little is known about the impact of long-term spaceflight on the mouse heart in vivo. This study focuses on the transcriptomic changes in the hearts of female C57B...","M, u, s,  , m, u, s, c, u, l, u, s","47","https://osdr.nasa.gov/bio/repo/data/studies/OSD-599"
"human spaceflight","GSE14798","Woman skeletal muscle transcriptome with bed rest and countermeasures.","Microgravity has a dramatic impact on human physiology, illustrated in particular with skeletal muscle impairment. A thorough understanding of the mechanisms leading to loss of muscle mass and structural disorders is necessary for the definition of efficient clinical and spaceflight countermeasures. We investigated the effects of long-term bed rest on transcriptome of soleus (SOL) and vastus lateralis (VL) muscles in healthy women (BRC group, n=8), and the potential beneficial impact of protein ...","Homo sapiens","46","https://osdr.nasa.gov/bio/repo/data/studies/GSE14798"
"cardiovascular","GSE97709","Plasma transcriptome profiling in patients with chronic kidney disease and end-stage renal disease","Cardiovascular disease is the major cause of morbidity and death in patients with chronic kidney disease (CKD) and end-stage renal disease (ESRD). Patients with CKD and ESRD are at high risk for myocardial dysfunction, ischemia and heart failure. The mechanisms linking impaired renal function and increased risk for cardiovascular diseases, however, remain elusive. In addition, conventional therapeutics proven effective in reducing cardiovascular events in general population fail to provide simil...","Homo sapiens","45","https://osdr.nasa.gov/bio/repo/data/studies/GSE97709"
"heart","PXD005736","Proteomic Analysis of Human Cardiac Organoids","The mammalian heart undergoes major transitions during postnatal life to acquire the physiological properties of an adult organ. Postnatal life imposes numerous adaptations including electrophysiological, structural and metabolic maturation of cardiomyocytes1, which occur coincident with loss of proliferative capacity and regenerative potential2,3. The discovery of key upstream drivers of cardiomyocyte maturation and cell cycle arrest remains one of the most important unanswered questions in car...","Homo sapiens (Human)","45","https://osdr.nasa.gov/bio/repo/data/studies/PXD005736"
"blood pressure","GSE67077","Deletion of Rictor in brain and fat alters peripheral clock gene expression and increases blood pressure","The mammalian target of rapamycin complex 2 (mTORC2) contains the essential protein RICTOR and is activated by growth factors. mTORC2 in adipose tissue contributes to regulating glucose and lipid metabolism. In the perivascular adipose tissue (PVAT) mTORC2 ensures normal vascular reactivity by controlling expression of inflammatory molecules. To assess whether RICTOR/mTORC2 contributes to blood pressure regulation, we applied a radiotelemetry approach in control and Rictor knockout (RictoraP2KO)...","Mus musculus","45","https://osdr.nasa.gov/bio/repo/data/studies/GSE67077"
"blood pressure","GSE77378","OBESITY ALTERS MOLECULAR AND FUNCTIONAL CARDIAC RESPONSES TO ISCHEMIA-REPERFUSION AND GLUCAGON-LIKE PEPTIDE-1 RECEPTOR AGONISM","This study tested the hypothesis that obesity alters the left ventricular microRNA (miR) transcriptome, proteome and functional cardiac response to ischemia-reperfusion (I/R) injury and to glucagon like peptide-1 (GLP-1) receptor activation. Ossabaw swine were fed normal chow or obesogenic diet for 6 months followed by IV infusion of either saline (vehicle) or the GLP-1 mimetic exendin-4 (Ex-4).  Left ventricular pressure volume relationships were assessed under baseline conditions, during a 30-...","synthetic construct","44","https://osdr.nasa.gov/bio/repo/data/studies/GSE77378"
"cardiovascular","GSE38511","Aspirin Exposure Reveals Novel Genes Associated with Platelet Function and Cardiovascular Events (outpatient cardiology)","This accession represents the OPC cohort microarray data Background: Identifying individuals at heightened cardiovascular risk is a priority for reducing the global burden of cardiovascular disease.  Aspirin is widely used to prevent cardiovascular events, though with variable results.  Therefore, we hypothesized that aspirin exposure would reveal novel biological pathways relevant to the development of cardiovascular events.  Methods: We administered aspirin, followed by peripheral blood RNA mi...","Homo sapiens","42","https://osdr.nasa.gov/bio/repo/data/studies/GSE38511"
"cardiovascular","GSE137500","An atheroprotective transcriptome induced by JQ1 (a BRD4 inhibitor) in human endothelial cells","The bromodomain and extra terminal domain (BET) family of proteins, including BRD2, BRD3, and BRD4, play a key role in many cellular processes, including inflammatory gene expression, mitosis, and viral/host interaction by controlling the assembly of histone acetylation-dependent chromatin complexes. Previous studies have shown that multiple BET inhibitors (BETi), including JQ1, have therapeutic effects in cancer and cardiovascular diseases. Some BETi have entered different phases of clinical tr...","Homo sapiens","42","https://osdr.nasa.gov/bio/repo/data/studies/GSE137500"
"heart","PXD006675","Region and cell-type resolved quantitative proteomic map of the human heart and its application to atrial fibrillation","The heart is a central human organ and its diseases are the leading cause of death worldwide, but an in-depth knowledge of the identity and quantity of its constituent proteins is still lacking. Here we determine the healthy human heart proteome by measuring 16 anatomical regions and three major cardiac cell types by high-resolution mass spectrometry-based proteomics. From low microgram sample amounts, we quantified over 11,000 proteins in this high dynamic range tissue. We combined copy numbers...","Homo sapiens (Human)","42","https://osdr.nasa.gov/bio/repo/data/studies/PXD006675"
"cardiac","GSE43588","Reprogramming of human fibroblasts toward a cardiac fate","Reprogramming of mouse fibroblasts toward a myocardial cell fate by forced expression of cardiac transcription factors or microRNAs has recently been demonstrated.  The potential clinical applicability of these findings is based on the minimal regenerative potential of the adult human heart and the limited availability of human heart tissue.  An initial, but mandatory step toward clinical application of this approach is to establish conditions for conversion of adult human fibroblasts to a cardi...","Homo sapiens","42","https://osdr.nasa.gov/bio/repo/data/studies/GSE43588"
"blood pressure","GSE75940","LncVSM (AK098656) up/down-regulation in Vascular Smooth Muscle cells","Long non-coding RNAs (LncRNAs) in hypertensives and their mechanisms in regulating blood pressure still remain unexplored.  The aim of present study is to construct the profiles of LncRNAs in blood of patients with essential hypertension and healthy controls.   Methods and results, LncRNA microarray identified up-regulated, anddown-regulated LncRNAs, in hypertensives compared to their healthy controls. Among them, one vascular smooth muscle (VSM)-specific LncRNA AK096656 (LncVSM) was quantitated...","Homo sapiens","42","https://osdr.nasa.gov/bio/repo/data/studies/GSE75940"
"microgravity human","GSE136939","Expression of miRNA, lncRNA and mRNA in human lymphoblastoid TK6 cells under simulated microgravity after ionizing radiation","In space, multiple unique environmental factors, particularly microgravity and space radiation, pose constant threat to the astronaut’s health. To gain insight into the role of miRNAs and lncRNAs in response to radiation and microgravity, we analyzed RNA expression profiles in human lymphoblastoid TK6 cells incubated for 24 h in static condition or in rotating condition to stimulate microgravity in space after 2 Gy γ-ray irradiation. Expression of 14 lncRNAs and 17 mRNAs was found to be signific...","Homo sapiens","42","https://osdr.nasa.gov/bio/repo/data/studies/GSE136939"
"cardiac","GSE12486","Changes in cardiac transcription profiles following on-pump coronary artery bypass grafting","Keywords: human, cardiac, CABG coronary surgery, gene expression, cardiopulmonary bypass. To investigate changes in cardiac transcription profiles caused by on-pump cardiac surgery, we collected myocardial samples, prior and after grafting, from patients undergoing on-pump coronary artery bypass grafting with cardiopulmonary bypass and cardiac arrest. The transcriptional profile of the mRNA in these samples was measured with gene array technology. Changes in transcriptional profiles can be corre...","Homo sapiens","41","https://osdr.nasa.gov/bio/repo/data/studies/GSE12486"
"blood pressure","GSE60538","Sox5 and Sox6 direct a cardiac adaptive response to pressure overload","Conclusions: Unlike in skeletal muscle, our results suggest Sox5 but not Sox6 to be a major regulator of cardiac function and rhythm. Sox5 is essential to preserve cardiac function under normal conditions by maintaining contractility and to prevent cardiac failure after pressure overload. Methods and Results: Using Sox5 and Sox6 cardiac-specific and Sox5 conduction system-specific knockout mice, we investigated the role of the two transcription factors in the heart under normal conditions and du...","Mus musculus","41","https://osdr.nasa.gov/bio/repo/data/studies/GSE60538"
"astronaut health","OSD-484","Astronauts plasma-derived exosomes induced gene expression in AC16 cells","There are unique stressors in the spaceflight environment. Exposure to such stressors is associated with adverse effects on astronauts' health, including increased cancer and cardiovascular disease risks. Small extracellular vesicles (sEVs, i.e., exosomes) play a vital role in intercellular communication and regulate various biological processes contributing to their role in disease pathogenesis. To assess whether spaceflight alters sEVs transcriptome profile, sEVs were isolated from the blood p...","H, o, m, o,  , s, a, p, i, e, n, s","41","https://osdr.nasa.gov/bio/repo/data/studies/OSD-484"
"human spaceflight","GSE38836","T Cell Activation in Microgravity Compared to 1g (Earth's) Gravity","This study tested the hypothesis that transcription of immediate early genes is inhibited in T cells activated in microgravity (mg).  Immunosuppression during spaceflight is a major barrier to safe long-term human space habitation and travel.  The goals of these experiments were to prove that mg was the cause of impaired T cell activation during spaceflight as well as understand the mechanisms controlling early T cell activation.  T cells from 4 human donors were stimulated with concanavalin A (...","Homo sapiens","41","https://osdr.nasa.gov/bio/repo/data/studies/GSE38836"
"microgravity human","GSE20173","Gene expression profiling of PBL in response to ionising radiation and modeled microgravity","BACKGROUND: Ionizing radiation (IR) can be extremely harmful for human cells since an improper DNA-damage response (DDR) to IR can contribute to carcinogenesis initiation. Perturbations in DDR pathway can originate from alteration in the functionality of the microRNA-mediated gene regulation, being microRNAs (miRNAs) small noncoding RNA that act as post-transcriptional regulators of gene expression. In this study we gained insight into the role of miRNAs in the regulation of DDR to IR under micr...","Homo sapiens","41","https://osdr.nasa.gov/bio/repo/data/studies/GSE20173"
"microgravity human","GSE20120","Identification of miRNAs involved in cell response to ionising radiation and modeled microgravity","BACKGROUND: Ionizing radiation (IR) can be extremely harmful for human cells since an improper DNA-damage response (DDR) to IR can contribute to carcinogenesis initiation. Perturbations in DDR pathway can originate from alteration in the functionality of the microRNA-mediated gene regulation, being microRNAs (miRNAs) small noncoding RNA that act as post-transcriptional regulators of gene expression. In this study we gained insight into the role of miRNAs in the regulation of DDR to IR under micr...","Homo sapiens","41","https://osdr.nasa.gov/bio/repo/data/studies/GSE20120"
"cardiovascular","GSE65795","Real-time quantitative PCR analysis of microRNA expression in neonatal cardiovascular progenitors before and after 7 Days of simulated microgravity.","Human cardiovascular progenitors were isolated from neonatal (<1 month old) atrial tissue and cloned by single cell dilution.  MicroRNA expression in neonatal cardiovascular progenitor cell (CPC) clones was compared before and after exposure to simulated microgravity using sabiosciences cell development & differentiation miRNA PCR array.","Homo sapiens","40","https://osdr.nasa.gov/bio/repo/data/studies/GSE65795"
"astronaut health","OSD-812","Simulated microgravity impairs human NK cell cytotoxic activity against space radiation-relevant leukemic cells.","Natural killer (NK) cells are an important first-line of defense against malignant cells. Because of the potential for increased cancer risk from astronaut exposure to space radiation, we determined whether microgravity present during spaceflight affects the body's defenses against leukemogenesis. Human NK cells were cultured for 48 h under normal gravity and simulated microgravity (sμG), and cytotoxicity against K-562 (CML) and MOLT-4 (T-ALL) cells was measured using standard methodology or und...","H, o, m, o,  , s, a, p, i, e, n, s","40","https://osdr.nasa.gov/bio/repo/data/studies/OSD-812"
"human spaceflight","PXD005823","Comparative proteomic analysis and bioluminescent reporter gene assays to investigate effects of  simulated microgravity on Caco-2 cells","Microgravity is one of the most important features in spaceflight. Previous evidence has shown that significant changes  to the musculoskeletal and immune systems occurred under microgravity. The present study was undertaken to explore the change in protein abundance in human colon colorectal cells that were incubated for 48 or 72 h either in normal conditions and µG simulated conditions. The comparative proteomic method based on the 18O labeling technique was applied to investigate the up-regul...","Homo sapiens (Human)","40","https://osdr.nasa.gov/bio/repo/data/studies/PXD005823"
"human spaceflight","OSD-624","Arabidopsis transcriptome in Virgin Galactic human-tended suborbital spaceflight","The Virgin Galactic Unity 22 mission conducted the first astronaut-manipulated suborbital spaceflight experiment. The experiment examined the operationalization of Kennedy Space Center Fixation Tubes (KFTs) as a generalizable approach to preserving biology at various phases of suborbital flight. The biology chosen for this experiment was Arabidopsis thaliana, ecotype Col-0, because of the plant’s history of spaceflight experimentation within KFTs and wealth of comparative data from orbital exper...","A, r, a, b, i, d, o, p, s, i, s,  , t, h, a, l, i, a, n, a","40","https://osdr.nasa.gov/bio/repo/data/studies/OSD-624"
"human spaceflight","GSE54213","Immune responses to the in vitro LPS assault engineered in the spaceflight multi-omics study"," Present study though compromised by the small sample size was able to shade lights on several aspects of immunological responses to the endotoxic assault mediated by μG. Implementing the host-pathogen interactions in the spaceflight and subsequently lysing the cells onboard presented the critical distinguishing features of the present study from the past reports. Microgravity alters the immune response to in vitro LPS assault engineered in spaceflight: A multi-omics study Microgravity can facil...","Homo sapiens","40","https://osdr.nasa.gov/bio/repo/data/studies/GSE54213"
"human spaceflight","OSD-530","Cell-free RNA analysis of plasma samples collected from six astronauts in JAXA Cell-Free Epigenome (CFE) Study","A detailed understanding of how the human body responds to spaceflight will be important to develop countermeasures for long-term space exploration. Liquid biopsies offer minimally invasive alternatives to traditional tissue biopsies, while also permitting the extraction of cell-free nucleic acids, which may resolve molecular heterogeneity and extend the multi-omics scope better than standard methods. Full-body molecular profiling using cell-free nucleic acids isolated from liquid biopsies is he...","H, o, m, o,  , s, a, p, i, e, n, s","40","https://osdr.nasa.gov/bio/repo/data/studies/OSD-530"
"vascular","GSE124314","Patterned human microvascular grafts enable rapid vascularization and increase perfusion in infarcted hearts","Vascularization and efficient perfusion are long-standing challenges in cardiac tissue engineering. Here, we engineer perfusable microvascular constructs, wherein human embryonic stem cell-derived endothelial cells (hESC-ECs) are seeded both into patterned microchannels and the surrounding collagen matrix. In vitro, the hESC-ECs lining the luminal walls readily sprout and anastomose with de novo-formed endothelial tubes in the matrix under flow. When implanted on infarcted rat hearts, the perfus...","Homo sapiens","40","https://osdr.nasa.gov/bio/repo/data/studies/GSE124314"
"cardiovascular","GSE20230","Early Multipotent Cardiovascular Progenitors Derived from Pluripotent Stem Cells Engraft in Postmyocard Infarted Primate","During embryogenesis, the cardiac cell fate is acquired as early as gastrulation. There is compelling evidence that embryonic stem cells (ESC) can recapitulate early steps in cardiogenesis. Identification from human pluripotent stem cells of early cardiovascular cell progenitors, at the origin of the first cardiac lineage, would shed light on human normal and pathological cardiogenesis and would pave the way toward cell therapy for cardiac degenerative diseases. Here, we report the isolation, an...","Homo sapiens","39","https://osdr.nasa.gov/bio/repo/data/studies/GSE20230"
"cardiovascular","GSE116428","Sexual Dimorphism of Preeclampsia-Dysregulated Transcriptomic Profiles and Endothelial Function in Fetal Endothelial Cells","Preeclampsia-offspring have increased risks of developing cardiovascular disorders in adulthood, implicating that preeclampsia programs fetal vasculature in utero. Fetal sex is associated with the risk of preeclampsia but the underlying mechanisms are unclear. We hypothesize that preeclampsia alters fetal endothelial gene expression and disturbs cytokines and growth factors-induced endothelial function in a fetal sex-specific manner. Methods: RNAseq analysis was performed with female and male un...","Homo sapiens","39","https://osdr.nasa.gov/bio/repo/data/studies/GSE116428"
"cardiac","PXD007839","Human cardiac fibroblast membrane proteome","Cardiac Fibroblasts (CFs) are one of the main cell populations in the heart and play important roles in tissue homeostasis and in myocardial fibrosis. The study of these cells has been hampered by the lack of reliable membrane markers: none of the antigens currently used for characterization and isolation of CFs is unique for this cell type. This issue has also raised doubts regarding a distinct identity of cardiac fibroblasts when comparing to other myocardium cell populations with similar morp...","Homo sapiens (Human)","39","https://osdr.nasa.gov/bio/repo/data/studies/PXD007839"
"cardiac","GSE12485","Changes in cardiac transcription profiles following off-pump coronary revascularization surgery","To investigate changes in cardiac transcription profiles caused by off-pump cardiac surgery, we collected myocardial samples, prior and after grafting, from patients undergoing off-pump coronary revascularization surgery. The transcriptional profile of the mRNA in these samples was measured with gene array technology. Changes in transcriptional profiles can be correlated with the stress response of heart to off-pump surgery. Keywords: human, cardiac, OPCAB coronary surgery, gene expression.","Homo sapiens","39","https://osdr.nasa.gov/bio/repo/data/studies/GSE12485"
"blood pressure","GSE135111","Transcriptome analyses for salt sensitivity of blood pressure","Salt sensitivity of blood pressure (SSBP) is an independent risk factor for cardiovascular disease. However, the pathogenic mechanisms of SSBP are still uncertain. Thus, ceRNA microarray was applied to identify differentially expressed lncRNAs and mRNAs. The whole blood samples from 10 hypertensives and 10 normotensives were collected by professional nurses in community health centers using EDTA blood tube. The samples were classified according to the salt sensitivity (SS, salt sensitivity; SR, ...","Homo sapiens","39","https://osdr.nasa.gov/bio/repo/data/studies/GSE135111"
"blood pressure","GSE25716","FAIRE-chip in CHRF-288-11 and K562 cells","Maps of open chromatin in a megakaryocytic (CHRF-288-11) and an erythroblastoid (K562) cell line using the formaldehyde-assisted isolation of regulatory elements (FAIRE) method. We profiled chromatin structure at 62 non-redundant genetic loci representing all known associations (as of November 2009, CEU population) with 11 cardiovascular traits: coronary artery disease (CAD), (early-onset) myocardial infarction (MI), mean platelet volume (MPV), platelet counts (PLT), platelet signaling (PLS), wh...","Homo sapiens","39","https://osdr.nasa.gov/bio/repo/data/studies/GSE25716"
"blood pressure","GSE10540","Transcriptional changes in blood from metabolic syndrome patients after a period of high intensity interval training"," Conclusion: After the exercise period was completed, the metabolic syndrome patients had decreased transcription of genes associated with blood clotting and steroid metabolism. Arginase-I was decreased post exercise, which may explain the previous reported improved NO-availability and endothelial function. Results: Gene set enrichment analysis revealed twelve significantly enriched biological processes and molecular functions that were up-regulated post exercise. Seven processes and functions w...","Homo sapiens","39","https://osdr.nasa.gov/bio/repo/data/studies/GSE10540"
"blood pressure","GSE123279","Effects of Cadmium Exposure on DNA Methylation at Imprinting Control Regions and Genome-Wide in Mothers and Newborn Children.","Background: Imprinted genes are defined by their preferential expression from one of the two parental alleles. This unique mode of gene expression is dependent on allele-specific DNA methylation profiles established at regulatory sequences called imprinting control regions. These loci are frequently used as biosensors to study how environmental exposures affect methylation and transcription. However, a critical unanswered question is whether they are more, less or equally sensitive to environmen...","Homo sapiens","39","https://osdr.nasa.gov/bio/repo/data/studies/GSE123279"
"circulation","PXD006501","Quantitative proteomic analysis of the human extracellular vesicle proteome reveals a novel mechanism for tissue cross-talk during exercise","Exercise stimulates the release of a plethora of molecules into the circulation, supporting the concept that inter-tissue signaling proteins are important mediators of adaptations to exercise. Recognising that many circulating proteins might be packaged in extracellular vesicles (EV), we employed quantitative proteomic techniques to characterise the exercise-induced secretion of EV contained proteins. We observed an increase in circulation of over 300 proteins, with a notable enrichment of sever...","Homo sapiens (Human), Mus musculus (Mouse)","39","https://osdr.nasa.gov/bio/repo/data/studies/PXD006501"
"human spaceflight","GSE16970","Response of Pseudomonas aeruginosa PAO1 to low shear modeled microgravity","Anticipating the risk for infectious disease during space exploration and habitation is a critical factor to ensure safety, health and performance of the crewmembers. As a ubiquitous environmental organism that is occasionally part of the human flora, Pseudomonas aeruginosa could pose a health hazard for the immuno-compromised astronauts. In order to gain insights in the behavior of P. aeruginosa in spaceflight conditions, two spaceflight-analogue culture systems, i.e. the rotating wall vessel (...","Pseudomonas aeruginosa","39","https://osdr.nasa.gov/bio/repo/data/studies/GSE16970"
"human spaceflight","OSD-516","Modeling cellular responses to serum and vitamin D in microgravity using a human kidney microphysiological system","The microgravity environment aboard the International Space Station (ISS) provides a unique stressor that can help understand underlying cellular and molecular drivers of pathological changes observed in astronauts with the ultimate goals of developing strategies to enable long- term spaceflight and better treatment of diseases on Earth. We used this unique environment to evaluate the effects of microgravity on kidney proximal tubule epithelial cell (PTEC) response to serum exposure and vitaminD...","H, o, m, o,  , s, a, p, i, e, n, s","39","https://osdr.nasa.gov/bio/repo/data/studies/OSD-516"
"human spaceflight","OSD-546","SCD – Stem Cell Differentiation Toward Osteoblast Onboard the International Space Station","Microgravity produces a variety of physical, chemical, and biological cues leading to an intricate and largely unresolved network of mechanosensitive molecules, transduction pathways, oxidative stress-related responses, and adaptations. The bone loss observed in astronauts and animal models after spaceflight is attributable to alterations in the bone tissue formation that depends on the continuous remodelling through the activities of bone-resorbing osteoclasts of hematopoietic lineage and bone-...","H, o, m, o,  , s, a, p, i, e, n, s","39","https://osdr.nasa.gov/bio/repo/data/studies/OSD-546"
"human spaceflight","OSD-14","Response of Pseudomonas aeruginosa PAO1 to low shear modeled microgravity","Anticipating the risk for infectious disease during space exploration and habitation is a critical factor to ensure safety, health and performance of the crewmembers. As a ubiquitous environmental organism that is occasionally part of the human flora, Pseudomonas aeruginosa could pose a health hazard for the immuno-compromised astronauts. In order to gain insights in the behavior of P. aeruginosa in spaceflight conditions, two spaceflight-analogue culture systems, i.e. the rotating wall vessel (...","P, s, e, u, d, o, m, o, n, a, s,  , a, e, r, u, g, i, n, o, s, a","39","https://osdr.nasa.gov/bio/repo/data/studies/OSD-14"
"cardiac","PXD009133","Screening in Human Cardiac Organoids Identifies a Critical Role for the Mevalonate Pathway in Cardiomyocyte Proliferation","Re-induction of endogenous proliferation is a promising regeneration strategy for post-mitotic organs. For heart regeneration, we recently discovered that dual inhibition of both GSK3 and MST1 is required for proliferation in mature human cardiac organoids1. However, the mechanisms of action are not yet understood. Here, we de-convolute the mitogenic response using proteomics and report that GSK3 inhibition activates a cell cycle network whereas MST1 inhibition drives the mevalonate pathway. Scr...","Homo sapiens (Human)","38","https://osdr.nasa.gov/bio/repo/data/studies/PXD009133"
